Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
LINDW,Lindblad Expeditions Holdings Inc. ,2.95,n/a,2013,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/lindw
LPCN,Lipocine Inc.,1.6,$34.34M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/lpcn
YVR,Liquid Media Group Ltd.,3.26,$13.03M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/yvr
LQDA,"Liquidia Technologies, Inc.",18.68,$288.27M,2018,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/lqda
LQDT,"Liquidity Services, Inc.",6.42,$206.23M,2006,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/lqdt
LFUS,"Littelfuse, Inc.",182.55,$4.59B,n/a,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/lfus
LIVN,LivaNova PLC,115.33,$5.61B,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/livn
LOB,"Live Oak Bancshares, Inc.",18.92,$759.01M,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/lob
LIVE,Live Ventures Incorporated,7.3,$14.31M,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/live
LPSN,"LivePerson, Inc.",20.36,$1.27B,2000,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/lpsn
LIVX,"LiveXLive Media, Inc.",4.22,$219.02M,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/livx
LKQ,LKQ Corporation,27.23,$8.66B,n/a,Consumer Services,Motor Vehicles,https://www.nasdaq.com/symbol/lkq
LMFA,"LM Funding America, Inc.",1.7,$2.77M,2015,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/lmfa
LMFAW,"LM Funding America, Inc.",0.0059,n/a,2015,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/lmfaw
LOGC,"LogicBio Therapeutics, Inc.",13.72,$300.99M,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/logc
LOGI,Logitech International S.A.,35.24,$5.84B,1997,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/logi
LOGM,"LogMein, Inc.",83.24,$4.26B,2009,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/logm
CNCR,Loncar Cancer Immunotherapy ETF,20.58,$45.28M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cncr
CHNA,Loncar China BioPharma ETF,21.1998,$2.12M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/chna
LONE,Lonestar Resources US Inc.,7.11,$175.17M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/lone
LOAC,Longevity Acquisition Corporation,9.8,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/loac
LOACR,Longevity Acquisition Corporation,0.35,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/loacr
LOACU,Longevity Acquisition Corporation,10.16,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/loacu
LOACW,Longevity Acquisition Corporation,0.17,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/loacw
LOOP,"Loop Industries, Inc.",7.21,$243.74M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/loop
LORL,"Loral Space and Communications, Inc.",44.97,$1.39B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/lorl
LOXO,"Loxo Oncology, Inc.",161.47,$4.94B,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/loxo
LPLA,LPL Financial Holdings Inc.,63.17,$5.48B,2010,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/lpla
LRAD,LRAD Corporation,2.77,$91.23M,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/lrad
LYTS,LSI Industries Inc.,4.31,$112.17M,1985,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/lyts
LULU,lululemon athletica inc.,135.42,$17.93B,2007,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/lulu
LITE,Lumentum Holdings Inc.,37.5,$2.38B,n/a,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/lite
LMNX,Luminex Corporation,26.34,$1.17B,2000,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/lmnx
LUNA,Luna Innovations Incorporated,3.56,$99.44M,2006,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/luna
LBC,Luther Burbank Corporation,9.82,$555.31M,2003,Finance,Major Banks,https://www.nasdaq.com/symbol/lbc
MBTF,M B T Financial Corp,11.21,$257.65M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/mbtf
MCBC,Macatawa Bank Corporation,10.69,$363.61M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/mcbc
MFNC,Mackinac Financial Corporation,15.69,$168.08M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/mfnc
MTSI,"MACOM Technology Solutions Holdings, Inc.",14.89,$970.27M,2012,Technology,Semiconductors,https://www.nasdaq.com/symbol/mtsi
MGNX,"MacroGenics, Inc.",16.62,$702.35M,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mgnx
MDGL,"Madrigal Pharmaceuticals, Inc.",186.51,$2.87B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mdgl
MAGS,Magal Security Systems Ltd.,5.34,$123.05M,1993,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/mags
MGLN,"Magellan Health, Inc.",62.46,$1.51B,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/mgln
MGTA,"Magenta Therapeutics, Inc.",7.88,$261.23M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mgta
MGIC,Magic Software Enterprises Ltd.,8.4,$409.56M,1991,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mgic
CALL,magicJack VocalTec Ltd,8.67,$140.5M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/call
MNGA,"MagneGas Applied Technology Solutions, Inc.",0.361,$47.31M,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/mnga
MGYR,"Magyar Bancorp, Inc.",12.12,$70.55M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/mgyr
MHLD,"Maiden Holdings, Ltd.",2.4,$199.54M,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/mhld
MMYT,MakeMyTrip Limited,24,$2.45B,2010,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/mmyt
MBUU,"Malibu Boats, Inc.",48.39,$1.01B,2014,Capital Goods,Marine Transportation,https://www.nasdaq.com/symbol/mbuu
MLVF,"Malvern Bancorp, Inc.",19.42,$127.69M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/mlvf
MAMS,"MAM Software Group, Inc.",7.85,$98.86M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mams
TUSK,"Mammoth Energy Services, Inc.",25.82,$1.16B,2016,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/tusk
RPIBC,Managed Portfolio Series,100.03,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rpibc
MANH,"Manhattan Associates, Inc.",47.83,$3.13B,1998,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/manh
LOAN,"Manhattan Bridge Capital, Inc",5.97,$56.99M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/loan
